model,accuracy,precision,recall,f1
TF-IDF + Logistic Regression,0.88188,0.8791802367145921,0.88544,0.8822990155048029
Fine-tuned DistilBERT,0.85056,0.8573059360730594,0.84112,0.849135842351801
